table,id,original_amount,original_currency,converted_amount,report_currency,date
sales,e4ce741b-6c1b-4c75-9ce8-074d49413e04,1015.2,HTG,1015.2,HTG,2026-06-03T18:05:48.802672+00:00
sales,a7651369-d9a1-4385-9583-8df57c446003,4005,HTG,4005,HTG,2026-06-01T20:28:04.106211+00:00
sales,7787a4f5-8de3-4ea4-a516-49447b31e9b5,3234,HTG,3234,HTG,2026-06-01T17:44:14.318899+00:00
sales,28b4148e-fc5f-4eb0-8c33-e8798f4f2d85,1602,HTG,1602,HTG,2026-06-01T17:02:01.826322+00:00
sales,58b4e315-fea1-4aeb-843b-d5b2f485287e,3124.8,HTG,3124.8,HTG,2026-06-01T16:50:18.436167+00:00
